,Tweets
3,"Batter up! 

Australian baseball team  announces a partnership with the Bitcoin payment processor  that allows it to pay professional players and staff in BTC. "
4,"The home of the Lakers is getting a new crypto-themed look! 

 buys the naming rights to the L.A. arena that will formerly be known as the Staples Center in a $700 million, 20-year deal. "
5,Canada is back on track to further cryptocurrency adoption after the collapse of its largest crypto exchange that shook the country two years prior. 
6,"New level unlocked.

 is now valued at $3.2 billion, joining over a dozen other crypto-focused companies in achieving unicorn status. "
7,"There's a new VeChain update; it's more green and more secure. 

The latest VeChain PoA 2.0 consensus upgrade aims to improve scalability and critical operations and hopefully make the project even friendlier to the environment. "
8,Phil Spencer has revealed that he is not keen on embracing NFTs. 
9,"“I think I can, I think I can!“ (Altcoins, probably).
 
With Bitcoin barely holding onto $60K, it was the smaller altcoins’ turn to be the little engines that could and rally their way to the top.
"
0,SHIBARMY 🐕 or DOGEARMY 🐶? Let's see who wins⬇️
1,"      Hi there, did you know Gemini supports physical Yubikey security key for 2FA? Here is a link to a resource with more information:  Also, we'd love to send you a yubikey free of charge for your personal use!"
2,      Hi there! We messaged you to help you solve this.
3,  Hi there! Please message us your support ticket ID.
4,  Hi there! Please message us your support ticket ID.
5,"We have teamed up with the amazing folks at  to host a women-focused Crypto 101 webinar on November 23rd, 11AM to 12PM HKT/SGT.

Ask any burning questions. Let us demystify crypto for you! Register for the free webinar here⬇️ GeminiAPAC
 "
6,Gemini x MATIC Twitter Live 
7,"wagbtc (📜,📜)
 "
8,"📢Join us for a Twitter AMA with  on November 16th from 7AM-8AM SGT / 7PM-8PM ET on Twitter Live!

Do you have questions for Polygon, the creators of $MATIC? Comment them down below and we will do our best to answer them⬇️ "
9,": Dear SHIB army,  welcomes you. Let's go! 🚀

"
0, Having to tip the guy who fills up your car in places that require full service.
1,"Lol this was not a photoshop. Here's the link to the actual article. 
"
2,The world's most successful quant switches to meme investing after prized Medallion Fund breaks. 
3,"Latest bullish additions to my collection:

_eggs
_io


what am I missing?"
4,: A Tesla to someone in a crosswalk
5,  That's like saying your car has a V8 engine and a tank full of gas but then asking why the headlight is out.
6,"My Diamond Hands NFT got the the OG makeover. Plus I got a sneak peak at the bulls (claimable by diamond hands owners), and they're unreal. Artist  is a true prodigy.
"
7, There's a couple of central exchanges that are easy. Bridge across networks is incoming.
8,": While you lost money this week Nancy Pelosi was up 35%

"
9, token continues to deliver on promises of utility and value. 
0,We hit 1 Million Twitter followers! Thank you for the support 🥳💜 
1,"🤔 Did you know that you can stake Cardano ADA on Kraken?

Receive initial annual staking rewards between 4-6%, issued weekly with instant stake &amp; unstake. 

Get started:  $ADA "
2,"Working together, the crypto industry can make sure bad actors are kept out of crypto exchanges &amp; trading platforms 🤝

Read more from Ian Mynot, Kraken's FIU Manager &amp; former NCA head of the UK's Financial Intelligence Unit. "
3,"Litecoin is widely considered to be the first successful “alternative cryptocurrency” 👨‍🚀

The 2011 release inspired a wave of developers to try to expand the user base for crypto by altering Bitcoin’s code &amp; using it to launch new networks.

Learn more:  "
4,"🏎💨 Fund your Kraken account in just a few clicks.

We’re enabling faster funding for our clients in Germany, the UK &amp; France. 

Stay tuned as we add more European countries! 

 "
5,"Polkadot &amp; Kusama parachain auctions offer a unique way for developers to build new blockchains on an existing network 🎡

Read the report from Kraken Intelligence to learn more ⬇️ "
6,"🌙  talks 's product strategy with : 

Check out all of our podcast episodes on Spotify:  "
7,"✨ Ethereum vs. Bitcoin

Check out a side-by-side comparison of the two biggest blockchains in terms of value &amp; influence. 

 "
8,"Bitcoin’s biggest upgrade yet is here! 

Taproot will:
🥕 Augment user privacy
🥕 Enable new kinds of smart contracts
🥕 Push scalability to new heights

Get the low-down 👇
 "
9,"Get in control of your crypto 😎

Read Wallet Security 101 for tips on how to securely store, transfer &amp; transact with crypto. "
0,"Here are more details and some legal stuff you might want to check out ...

No Purch Necessary. US only (excl HI) 18+ Ends 11/23/21. 

RULES: "
1,"All this crypto could be yours! 🤑

All you have to do is opt-in and trade $100 in any crypto on Coinbase for your chance to win $250K in USDC. So easy! 

Go here to get started 👇
 "
2,"How will Coinbase evolve in a decentralized world?

_armstrong stopped by the Around The Block podcast to share his thoughts.

Full episode here →  "
3,": Excited to share my convo with  on the future of NFTs!!

Full Vid:  "
4,"Time to learn and earn more crypto!

This time we’re diving into Enzyme. What is Enzyme, you ask? Enzyme (MLN) is a protocol that aims to facilitate on-chain asset management for the DeFi ecosystem.

Sign up to earn 👉  "
5,"How would you use blockchain technology to change the world? 

Help change the world by submitting your novel vision for harnessing this technology.  is crowdsourcing proposals that could make an impact.

Submit your ideas here👇"
6,"ALCX, ENS, GALA, GYEN and POWR are now live on  &amp; in the Coinbase iOS &amp; Android apps. 

Coinbase customers can log in now to buy, sell, convert, send, receive or store ALCX, ENS, GALA, GYEN and POWR

 "
7,"The story of  and how it was born ...

Join _armstrong on ’s, , a podcast about innovators, entrepreneurs, idealists, and the movements they built. Hosted by .

Listen now👇"
8,"🔴 Live now on  BUIDLCrypto

Hosted by , and joined by  ➕ leading NFT artists , , and . 

Tune in 👇
 "
9,": 1/ I had a great time hosting our BUIDLCrypto chat about all things NFTs with  of _io, …"
